City,Latitude,Longitude,Temperature (F),Maximum Temperature (F),Humidity,Cloudiness,Wind Speed,Country,Data
Henties Bay,-22.116,14.2845,56.86,56.86,65,0,11.79,NA,1631787120
Chingirlau,51.095,54.0814,64.11,64.11,32,8,11.32,KZ,1631787122
Amahai,-3.3333,128.9167,78.67,78.67,86,91,6.13,ID,1631787123
Nansio,-2.1333,33.05,76.84,76.84,60,86,5.97,TZ,1631787124
Lukovit,43.2,24.1667,85.46,85.46,21,3,3.6,BG,1631787125
Kédougou,12.5579,-12.1743,73.65,73.65,97,100,2.64,SN,1631787126
Nanyang,32.9947,112.5328,80.06,80.06,65,29,7.78,CN,1631787128
Tadine,-21.55,167.8833,70.2,70.2,66,99,13.31,NC,1631787128
Aykhal,66.0,111.5,42.33,42.33,56,89,7.25,RU,1631787129
Varhaug,58.6147,5.6457,57.31,58.55,71,100,6.6,NO,1631787130
Nova Olímpia,-14.7972,-57.2881,74.1,74.1,73,27,2.42,BR,1631787132
Bauchi,10.5,10.0,89.6,89.6,51,95,3.22,NG,1631787133
Aberdeen,57.1437,-2.0981,58.39,60.21,82,75,6.91,GB,1631787062
Kamyshin,50.0983,45.416,63.72,63.72,33,13,13.96,RU,1631787135
Bukama,-9.2,25.85,102.29,102.29,25,92,1.34,CD,1631787136
Shubarkuduk,49.1447,56.4872,72.95,72.95,17,0,16.4,KZ,1631787138
Sosnovo-Ozerskoye,52.5249,111.5418,51.24,51.24,59,62,12.55,RU,1631787139
Mt. Pleasant,32.7941,-79.8626,73.98,76.17,97,1,3.0,US,1631787141
Bubaque,11.2833,-15.8333,80.51,80.51,77,100,3.13,GW,1631787142
Fairbanks,64.8378,-147.7164,39.92,44.31,76,75,4.61,US,1631787143
Ayagoz,47.9714,80.4392,78.06,78.06,14,62,12.12,KZ,1631787145
Port Hardy,50.6996,-127.4199,48.24,48.24,88,3,4.23,CA,1631787145
Clyde River,70.4692,-68.5914,29.17,29.17,73,82,3.67,CA,1631787147
Osmeña,10.5208,119.9258,82.33,82.33,78,97,8.43,PH,1631787149
Micheweni,-4.9667,39.8333,82.62,82.62,61,65,7.27,TZ,1631787150
Ormara,25.2088,64.6357,83.1,83.1,76,6,11.92,PK,1631787151
Poso,-1.3959,120.7524,74.97,74.97,96,100,0.96,ID,1631787152
Progreso,21.2833,-89.6667,78.12,78.12,91,31,8.46,MX,1631787152
Monte Alegre,-2.0078,-54.0692,74.41,74.41,84,3,4.47,BR,1631787153
Saiha,22.4833,92.9667,74.28,74.28,98,100,1.63,IN,1631787154
Along,28.1667,94.7667,91.11,91.11,55,59,1.9,IN,1631787155
Umluj,25.0213,37.2685,86.74,86.74,63,24,14.56,SA,1631787155
Annau,37.8876,58.516,99.9,99.9,10,0,20.71,TM,1631787156
Portland,45.5234,-122.6762,46.13,50.5,80,1,1.01,US,1631787015
Tiznit Province,29.5833,-9.5,70.81,70.81,62,20,5.39,MA,1631787158
Embu,-23.6489,-46.8522,62.08,65.75,96,100,8.43,BR,1631787159
Gorontalo,0.5412,123.0595,75.07,75.07,98,100,2.73,ID,1631787161
Mayna,54.1135,47.6231,48.18,48.18,61,99,9.98,RU,1631787161
Broken Hill,-31.95,141.4333,65.53,65.53,30,0,8.81,AU,1631787163
Marawi,7.9986,124.2928,66.65,66.65,97,99,2.3,PH,1631787164
Redlands,34.0556,-117.1825,60.55,70.12,70,1,6.91,US,1631787164
Bac Lieu,9.285,105.7244,83.14,83.14,71,71,8.93,VN,1631787165
Saint-Pierre,-21.3393,55.4781,77.56,79.18,64,0,8.05,RE,1631787165
Lamu,-2.2717,40.902,84.42,84.42,67,21,14.09,KE,1631787167
Mount Isa,-20.7333,139.5,73.17,73.17,25,5,2.3,AU,1631787168
Östersund,63.1792,14.6357,46.85,46.85,87,90,14.97,SE,1631787169
College,64.8569,-147.8028,39.83,44.29,76,75,4.61,US,1631787170
Narsaq,60.9167,-46.05,34.02,34.02,45,99,0.38,GL,1631787172
Sinjār,36.3209,41.8754,88.43,88.43,23,0,10.27,IQ,1631787174
Tilichiki,60.4667,166.1,40.62,40.62,80,62,4.36,RU,1631787175
Charters Towers,-20.1,146.2667,66.51,66.51,56,1,12.01,AU,1631787176
San Miguel de Tucumán,-26.8241,-65.2226,46.4,46.4,71,0,6.91,AR,1631787177
Hofn,64.2539,-15.2082,51.82,51.82,100,90,11.5,IS,1631787178
Flin Flon,54.7682,-101.865,46.15,46.15,53,0,11.7,CA,1631787180
Sun Valley,39.5963,-119.776,56.77,65.23,34,1,1.01,US,1631787181
Cherskiy,68.75,161.3,30.11,30.11,73,55,5.95,RU,1631787182
Boa Vista,2.8197,-60.6733,80.58,80.58,69,0,10.36,BR,1631787183
Coquimbo,-29.9533,-71.3436,49.73,49.73,87,90,4.61,CL,1631787185
Wonthaggi,-38.6044,145.5913,49.24,53.38,78,27,10.0,AU,1631787186
Jalu,29.0331,21.5482,86.38,86.38,25,0,6.82,LY,1631787187
Chaohu,31.6,117.8667,76.96,76.96,61,0,6.13,CN,1631787188
Chicomuselo,15.7667,-92.2667,67.37,67.37,95,67,1.68,MX,1631787188
San Andrés,12.5847,-81.7006,80.62,80.62,83,40,6.91,CO,1631787189
Ritíni,40.2869,22.2808,76.89,82.42,26,49,4.54,GR,1631787190
Koumac,-20.5667,164.2833,67.98,67.98,61,65,11.1,NC,1631787191
Kiunga,-6.1219,141.2906,73.36,73.36,98,100,2.93,PG,1631787192
Ulladulla,-35.35,150.4667,48.38,50.88,79,16,3.06,AU,1631787192
Kapuskasing,49.4169,-82.4331,44.92,44.92,92,9,7.2,CA,1631787193
Novy Urengoy,66.0833,76.6333,46.65,46.65,65,97,9.13,RU,1631787194
Auki,-8.7676,160.7034,76.87,76.87,88,34,5.73,SB,1631787196
Demba,-5.51,22.2667,88.32,88.32,43,95,5.41,CD,1631787197
Bom Jesus do Galho,-19.8289,-42.3161,71.89,71.89,64,2,2.57,BR,1631787198
Ovruch,51.3246,28.8035,65.41,65.41,50,84,5.97,UA,1631787200
Verkhniye Kigi,55.4083,58.6044,44.92,44.92,81,100,14.41,RU,1631787201
Batouri,4.4333,14.3667,79.32,79.32,83,54,2.24,CM,1631787202
Margate,51.3813,1.3862,66.7,69.96,78,46,3.65,GB,1631787204
Yambio,4.5721,28.3955,82.94,82.94,70,60,2.24,SS,1631787205
Locri,38.2414,16.2623,81.86,89.55,42,42,7.23,IT,1631787207
Malakal,9.5334,31.6605,92.88,92.88,46,45,0.51,SS,1631787208
Greenville,35.6127,-77.3663,69.98,72.99,96,1,0.0,US,1631787210
Ulaangom,49.9811,92.0667,66.07,66.07,25,100,7.18,MN,1631787211
Tūkrah,32.5341,20.5791,81.18,81.18,54,0,11.52,LY,1631787211
Faranah,10.0404,-10.7434,72.59,72.59,94,100,1.05,GN,1631787212
Saint Anthony,45.0205,-93.218,65.89,68.14,64,20,14.97,US,1631787214
Tārūt,26.5733,50.0369,107.15,107.82,31,1,14.07,SA,1631787214
Yumen,40.2833,97.2,78.66,78.66,17,0,9.66,CN,1631787216
Ouésso,1.6136,16.0517,90.07,90.07,47,100,3.53,CG,1631787217
Aldan,58.6031,125.3894,32.56,32.56,100,100,7.47,RU,1631787218
Imeni Zhelyabova,58.9544,36.5956,42.6,42.6,80,100,5.91,RU,1631787220
Laguna,38.421,-121.4238,57.09,68.22,86,1,3.0,US,1631787221
Pumiao,22.75,108.4833,78.06,78.06,90,100,5.68,CN,1631787222
Deputatsky,69.3,139.9,39.11,39.11,86,97,3.94,RU,1631787222
Ilhéus,-14.7889,-39.0494,75.13,75.13,81,67,2.33,BR,1631787224
Kahului,20.8947,-156.47,77.02,77.02,69,1,0.0,US,1631787225
Arroio Grande,-32.2375,-53.0869,46.18,46.18,83,0,3.18,BR,1631787227
Pitiquito,30.7,-112.0833,85.35,85.35,41,0,2.51,MX,1631787228
Hargeisa,9.56,44.065,87.15,87.15,30,91,10.04,SO,1631787229
Nālūt,30.3333,10.85,88.72,88.72,17,0,10.07,LY,1631787231
Gambēla,8.25,34.5833,81.55,81.55,67,90,2.04,ET,1631787232
Kangaatsiaq,68.3065,-53.4641,30.6,30.6,77,13,12.28,GL,1631787234
Sistranda,63.7256,8.834,53.56,58.89,81,100,7.09,NO,1631787235
Synya,65.3718,58.0387,50.49,50.49,57,99,9.89,RU,1631787238
Jasper,37.2001,-94.3502,68.02,69.85,86,1,6.91,US,1631787239
Cardston,49.2,-113.3019,35.44,38.46,66,8,0.6,CA,1631787240
Muzhi,65.3667,64.6667,46.58,46.58,69,97,19.93,RU,1631787242
Dhārchula,29.85,80.5333,73.44,73.44,91,100,2.3,IN,1631787243
Benalla,-36.55,145.9833,47.95,48.97,88,47,4.88,AU,1631787243
Senno,59.5336,33.9167,44.26,44.26,86,100,4.43,RU,1631787244
Fallon,39.4735,-118.7774,60.78,67.91,31,1,0.0,US,1631787245
Ankazobe,-18.3167,47.1167,77.41,77.41,29,60,4.63,MG,1631787246
Hashtrūd,37.4779,47.0508,86.41,86.41,10,0,23.06,IR,1631787248
Paracuru,-3.41,-39.0306,80.11,82.42,76,67,15.41,BR,1631787249
Bilma,18.6853,12.9164,100.53,100.53,13,48,10.67,NE,1631787251
Ucluelet,48.9329,-125.5528,39.04,44.1,85,0,4.54,CA,1631787252
Kushima,31.4583,131.2333,76.8,76.8,94,71,4.29,JP,1631787254
Ponta Delgada,37.7333,-25.6667,72.32,72.32,83,20,3.44,PT,1631787254
Borinskoye,52.4569,39.3713,58.82,58.82,38,4,9.24,RU,1631787255
Poronaysk,49.2167,143.1167,57.16,57.16,81,84,11.63,RU,1631787257
Sovetskiy,61.3614,63.5842,42.67,42.67,95,100,11.79,RU,1631787257
Bangassou,4.7413,22.8184,89.28,89.28,51,100,2.66,CF,1631787259
Guerrero Negro,27.9769,-114.0611,69.3,69.3,83,1,15.19,MX,1631787260
Rocha,-34.4833,-54.3333,46.94,46.94,76,0,5.88,UY,1631787262
Petropavlovsk-Kamchatskiy,53.0452,158.6483,45.86,45.86,78,1,2.62,RU,1631787264
Syas'stroy,60.1367,32.5691,48.38,48.38,63,98,6.26,RU,1631787265
Saint George,37.1041,-113.5841,72.7,72.79,23,1,1.99,US,1631787267
Sibu,2.3,111.8167,80.47,80.47,80,98,1.32,MY,1631787079
Guarapari,-20.6667,-40.4975,75.09,75.09,89,46,4.85,BR,1631787268
Pangai,-19.8,-174.35,77.11,77.11,84,16,16.49,TO,1631787269
Acarí,-15.4311,-74.6158,61.65,61.65,76,74,4.07,PE,1631787271
Oddur,4.1213,43.8894,91.65,91.65,36,67,18.95,SO,1631787273
Bowen,-20.0167,148.2333,69.57,69.57,65,0,12.66,AU,1631787275
Teknāf,20.8624,92.3058,84.47,84.47,76,100,5.1,BD,1631787275
Naze,28.3667,129.4833,79.16,79.16,82,44,10.69,JP,1631787138
Santa Lucía,27.9117,-15.5407,69.78,70.77,69,75,19.57,ES,1631787276
Hervey Bay,-25.2986,152.8535,65.03,65.03,67,3,10.69,AU,1631787277
Ji’an,27.1172,114.9793,83.03,83.03,55,0,7.72,CN,1631787278
Isiro,2.7739,27.616,73.53,73.53,84,100,2.75,CD,1631787278
Tuy Hoa,13.0833,109.3,82.51,82.51,79,96,8.99,VN,1631787211
Ayr,55.4627,-4.6339,60.91,62.92,72,20,9.22,GB,1631787280
Milot,19.6167,-72.2167,73.92,73.92,79,24,4.45,HT,1631787281
Nur,52.6683,22.3221,60.78,60.78,73,100,11.7,PL,1631787282
Taoudenni,22.6783,-3.9836,104.27,104.27,18,30,13.94,ML,1631787283
Chipata,-13.6333,32.65,89.1,89.1,20,10,8.05,ZM,1631787285
Paamiut,61.994,-49.6678,37.22,37.22,71,100,4.52,GL,1631787286
Anadyr,64.75,177.4833,43.36,43.36,80,100,11.54,RU,1631787288
Puerto Palomas,31.7667,-107.6167,69.13,69.13,45,41,2.37,MX,1631787289
Vila,42.0304,-8.1588,60.96,63.32,79,31,3.69,PT,1631787290
Abu Samrah,35.3029,37.1841,84.0,84.0,34,0,13.82,SY,1631787292
Lavrentiya,65.5833,-171.0,34.57,34.57,75,84,8.05,RU,1631787293
Beloha,-25.1667,45.05,91.0,91.0,25,0,10.31,MG,1631787295
Millinocket,45.6573,-68.7098,54.07,57.34,95,1,3.44,US,1631787296
Amapá,1.0,-52.0,70.39,70.39,99,28,1.39,BR,1631787297
Mabay,6.0577,124.4666,76.89,76.89,94,100,2.77,PH,1631787299
Padang,-0.9492,100.3543,86.05,86.05,82,57,2.86,ID,1631787110
Clearwater,27.9659,-82.8001,76.69,78.91,88,40,1.99,US,1631787300
Dale,38.1689,-86.99,63.59,65.98,100,1,0.0,US,1631787301
Pacifica,37.6138,-122.4869,55.69,58.86,86,20,3.0,US,1631787111
Gorom-Gorom,14.4439,-0.2361,89.76,89.76,48,28,12.53,BF,1631787304
Mount Gambier,-37.8333,140.7667,48.61,48.61,83,0,4.81,AU,1631787141
Kalianget,-7.05,113.9333,83.21,83.21,68,78,8.61,ID,1631787306
Aromashevo,56.8602,68.6375,63.28,63.28,48,76,11.68,RU,1631787306
Goderich,43.7501,-81.7165,52.12,53.91,67,2,10.04,CA,1631787308
Tiarei,-17.5333,-149.3333,77.02,77.02,76,6,20.76,PF,1631787309
Benghazi,32.1167,20.0667,81.0,81.0,53,0,11.07,LY,1631787310
Palmas,-10.2128,-48.3603,76.87,76.87,69,0,3.44,BR,1631787311
Ndjolé,-0.1783,10.7649,80.08,80.08,81,100,3.83,GA,1631787313
Te Anau,-45.4167,167.7167,38.01,38.01,97,77,5.79,NZ,1631787314
Campbellton,48.0075,-66.6727,47.61,47.61,96,100,4.29,CA,1631787315
Warragul,-38.1667,145.9333,49.44,53.65,76,92,4.18,AU,1631787184
Krasnosel'kup,65.7,82.4667,48.27,48.27,64,95,3.6,RU,1631787316
Rundu,-17.9333,19.7667,98.01,98.01,7,7,3.98,NA,1631787318
Kosh-Agach,50.0,88.6667,60.85,60.85,22,100,2.39,RU,1631787319
Campo Maior,-4.8278,-42.1686,78.08,78.08,71,8,4.41,BR,1631787320
Keti Bandar,24.1447,67.4497,93.94,93.94,56,19,11.79,PK,1631787321
Westport,41.1415,-73.3579,68.92,72.07,83,75,5.99,US,1631787322
Alghero,40.5589,8.3181,84.29,84.29,58,0,6.91,IT,1631787323
Leeton,-34.5667,146.4,50.54,50.54,66,6,4.47,AU,1631787324
Bhongīr,17.5108,78.8889,85.3,87.98,54,100,14.54,IN,1631787324
Behbahān,30.5959,50.2417,106.92,106.92,8,0,11.99,IR,1631787325
Cabedelo,-6.9811,-34.8339,77.67,77.67,76,17,14.81,BR,1631787326
Roald,62.5833,6.1333,56.12,58.33,88,75,5.75,NO,1631787327
Biltine,14.5333,20.9167,98.78,98.78,16,15,10.36,TD,1631787329
Berlevåg,70.8578,29.0864,39.0,44.6,60,24,7.9,NO,1631787330
Shenavan,40.0549,43.9288,86.58,87.31,21,20,10.36,AM,1631787331
Correntina,-13.3433,-44.6367,73.17,73.17,39,0,3.89,BR,1631787333
Venice of the Philippines,4.6628,119.3928,80.15,80.15,73,100,7.67,PH,1631787334
Yulara,-25.2406,130.9889,85.84,85.84,21,84,6.91,AU,1631787334
Geraldton,-28.7667,114.6,61.21,61.21,55,40,16.11,AU,1631787147
Truth or Consequences,33.1284,-107.2528,68.59,69.15,37,1,9.22,US,1631787335
Kavaratti,10.5669,72.642,81.5,81.5,80,98,15.39,IN,1631787336
Port Hedland,-20.3167,118.5667,75.25,75.25,60,18,17.27,AU,1631787336
Batemans Bay,-35.7167,150.1833,50.61,51.19,74,95,2.21,AU,1631787337
Finspång,58.7058,15.7674,53.19,54.12,82,100,11.36,SE,1631787337
Beringovskiy,63.05,179.3167,39.04,39.04,78,32,6.13,RU,1631787339
Nichinan,31.6,131.3667,78.48,79.75,92,81,3.94,JP,1631787340
Narón,43.5167,-8.1528,66.99,72.03,68,77,5.53,ES,1631787340
Picota,-6.9197,-76.3304,68.81,68.81,100,39,0.87,PE,1631787342
Santa Catalina,9.3337,122.8637,79.23,79.23,83,100,2.53,PH,1631787245
Mbandaka,0.0487,18.2603,77.2,77.2,79,100,3.18,CD,1631787343
Mossamedes,-15.1961,12.1522,71.64,71.64,63,13,7.9,AO,1631787345
Hegang,47.4,130.3667,53.82,53.82,91,100,4.47,CN,1631787346
Mitsamiouli,-11.3847,43.2844,79.11,79.11,72,30,7.94,KM,1631787347
Thanh Hoa,19.8,105.7667,82.38,82.38,87,100,6.85,VN,1631787133
Alyangula,-13.8483,136.4192,76.55,76.55,77,19,11.01,AU,1631787349
Misratah,32.3754,15.0925,83.21,83.21,50,0,7.61,LY,1631787349
La Sarre,48.8002,-79.1996,43.41,43.41,95,62,5.86,CA,1631787352
Vao,-22.6667,167.4833,69.04,69.04,59,14,17.18,NC,1631787353
Isla Mujeres,21.2311,-86.731,82.45,82.45,82,93,12.55,MX,1631787353
Vestmanna,62.1564,-7.1664,52.72,52.72,87,20,10.36,FO,1631787354
Ojinaga,29.5667,-104.4167,77.97,78.42,47,1,5.75,MX,1631787355
Pombas,17.1503,-25.0201,80.38,80.38,77,64,12.95,CV,1631787356
Hambantota,6.1241,81.1185,86.94,86.94,65,92,23.85,LK,1631787358
Kyaukse,21.6,96.1333,91.4,91.4,70,90,5.75,MM,1631787359
Homer,59.6425,-151.5483,48.06,48.79,76,90,4.61,US,1631787359
Kasempa,-13.4584,25.8338,95.2,95.2,14,63,4.88,ZM,1631787360
Hamilton,39.1834,-84.5333,62.58,67.05,95,90,4.61,US,1631787362
Prince Rupert,54.3161,-130.3201,50.29,53.29,93,90,4.61,CA,1631787363
Santa Rosa,14.3122,121.1114,82.94,84.11,78,99,5.59,PH,1631787077
Ketchikan,55.3422,-131.6461,47.08,47.08,88,99,3.96,US,1631787364
